Laptop_ID,Brand,Model,Price,Processor,RAM,Storage,OS,Rating
LAP0031,Acer,Predator Helios,97300,Ryzen 3,64GB,1TB HDD,ChromeOS,3.8
LAP0032,ASUS,VivoBook 15,101600,Intel i3,4GB,256GB SSD,Linux,4.2
LAP0033,Microsoft,Surface Laptop 5,148000,Intel i5,16GB,256GB SSD,Windows,3.6
LAP0034,ASUS,ZenBook 14,103200,Intel i5,64GB,2TB SSD,macOS,4.4
LAP0035,MSI,Katana 15,74800,Ryzen 3,16GB,512GB SSD,macOS,4.1
LAP0036,Acer,Predator Helios,103400,Ryzen 5,4GB,1TB HDD,Windows,4.9
LAP0037,Dell,Inspiron 15,77000,Intel i9,8GB,1TB SSD,Linux,4.7
LAP0038,Apple,MacBook Pro 14,203700,Apple M2,32GB,1TB SSD,macOS,3.5
LAP0039,Microsoft,Surface Laptop 6,186600,Intel i5,32GB,256GB SSD,Windows,3.6
LAP0040,Microsoft,Surface Laptop 5,114900,Snapdragon X Plus,16GB,1TB SSD,Windows,3.8
LAP0041,Acer,Predator Helios,58300,Ryzen 3,4GB,1TB HDD,Windows,3.6
LAP0042,Apple,MacBook Air M3,209600,Apple M3,16GB,2TB SSD,macOS,4.5
LAP0043,Microsoft,Surface Laptop 5,74700,Intel i5,16GB,1TB SSD,Windows,4.7
LAP0044,Microsoft,Surface Laptop 5,117800,Snapdragon X Elite,8GB,512GB SSD,Windows,4.8
LAP0045,HP,Envy 13,136400,Intel i9,4GB,1TB SSD,macOS,4.7
LAP0046,MSI,Thin 15,60200,Intel i9,8GB,1TB HDD,macOS,3.8
LAP0047,Apple,MacBook Pro 16,93300,Apple M2,24GB,512GB SSD,macOS,4.0
LAP0048,HP,EliteBook 840,133000,Intel i9,32GB,1TB SSD,macOS,4.6
LAP0049,ASUS,TUF Gaming F15,99500,Intel i3,32GB,1TB SSD,macOS,4.7
LAP0050,Acer,Swift Go 14,71200,Ryzen 7,4GB,256GB SSD,Linux,3.7
LAP0051,Acer,Aspire 5,105200,Intel i5,16GB,1TB SSD,ChromeOS,4.3
LAP0052,Microsoft,Surface Laptop 5,162900,Snapdragon X Elite,32GB,256GB SSD,Windows,4.1
LAP0053,Microsoft,Surface Pro 9,157100,Intel i7,64GB,256GB SSD,Windows,4.8
LAP0054,Apple,MacBook Air M2,150500,Apple M3,24GB,2TB SSD,macOS,4.1
LAP0055,Acer,Nitro V,165700,Intel i9,32GB,512GB SSD,ChromeOS,4.3
LAP0056,MSI,Modern 14,103000,Ryzen 3,8GB,1TB HDD,Linux,4.3
LAP0057,Apple,MacBook Pro 16,199000,Apple M4,32GB,512GB SSD,macOS,4.2
LAP0058,Lenovo,IdeaPad Slim 3,113200,Ryzen 3,4GB,512GB SSD,Linux,3.9
LAP0059,ASUS,TUF Gaming F15,107100,Intel i3,8GB,1TB HDD,Windows,4.7
LAP0060,Dell,XPS 13,116400,Ryzen 7,32GB,1TB HDD,macOS,3.8
LAP0061,HP,Pavilion 15,120900,Ryzen 7,8GB,2TB SSD,macOS,3.6
LAP0062,ASUS,VivoBook 15,176300,Ryzen 9,32GB,2TB SSD,macOS,4.3
LAP0063,Samsung,Galaxy Book Pro,98000,Ryzen 7,8GB,1TB HDD,ChromeOS,3.9
LAP0064,ASUS,ROG Strix G16,77200,Ryzen 9,16GB,1TB HDD,macOS,4.5
LAP0065,ASUS,ROG Strix G16,98100,Ryzen 5,64GB,256GB SSD,Linux,3.7
LAP0066,MSI,Thin 15,125400,Intel i9,32GB,1TB HDD,Windows,4.3
LAP0067,MSI,Modern 14,105600,Intel i9,32GB,2TB SSD,ChromeOS,4.7
LAP0068,MSI,Cyborg 15,91900,Intel i3,16GB,1TB HDD,Linux,4.3
LAP0069,Microsoft,Surface Pro 9,127100,Intel i7,16GB,512GB SSD,Windows,4.2
LAP0070,MSI,Katana 15,148600,Ryzen 7,32GB,512GB SSD,macOS,4.2
LAP0071,MSI,Modern 14,50800,Intel i5,8GB,1TB HDD,ChromeOS,3.6
LAP0072,MSI,Katana 15,127700,Intel i9,16GB,1TB SSD,ChromeOS,3.9
LAP0073,MSI,Katana 15,49800,Intel i5,4GB,2TB SSD,ChromeOS,4.9
LAP0074,Apple,MacBook Air M3,129800,Apple M1,8GB,256GB SSD,macOS,3.8
LAP0075,HP,Victus 15,158900,Intel i9,32GB,256GB SSD,macOS,4.8
LAP0076,Samsung,Galaxy Book Pro,127600,Ryzen 3,8GB,2TB SSD,Linux,4.8
LAP0077,Dell,Vostro 15,120900,Ryzen 3,64GB,256GB SSD,Windows,4.3
LAP0078,MSI,Cyborg 15,123400,Intel i9,64GB,512GB SSD,Windows,4.5
LAP0079,Acer,Aspire 5,163700,Intel i3,64GB,1TB HDD,Linux,4.0
LAP0080,Microsoft,Surface Pro 9,83800,Snapdragon X Plus,64GB,512GB SSD,Windows,4.1
LAP0081,Apple,MacBook Pro 16,201800,Apple M2,32GB,512GB SSD,macOS,4.9
LAP0082,Acer,Predator Helios,160200,Ryzen 9,64GB,1TB SSD,ChromeOS,4.7
LAP0083,Dell,G15 Gaming,183000,Ryzen 9,32GB,2TB SSD,macOS,4.4
LAP0084,Apple,MacBook Air M2,192800,Apple M4,24GB,512GB SSD,macOS,3.8
LAP0085,Acer,Swift Go 14,147700,Ryzen 3,64GB,256GB SSD,Linux,4.8
LAP0086,Dell,Vostro 15,154400,Ryzen 7,64GB,512GB SSD,ChromeOS,4.4
LAP0087,Samsung,Galaxy Book 4,93000,Intel i3,16GB,512GB SSD,Windows,4.5
LAP0088,Acer,Swift Go 14,146400,Ryzen 9,32GB,2TB SSD,Linux,4.0
LAP0089,Samsung,Galaxy Book 4,55200,Ryzen 3,8GB,256GB SSD,Linux,3.9
LAP0090,Microsoft,Surface Pro 9,133500,Intel i7,16GB,1TB SSD,Windows,3.9
LAP0091,Microsoft,Surface Pro 9,99800,Snapdragon X Plus,16GB,512GB SSD,Windows,4.0
LAP0092,Acer,Aspire 5,109500,Intel i7,4GB,256GB SSD,Linux,3.9
LAP0093,Lenovo,Yoga Slim 7,149500,Intel i5,64GB,1TB SSD,Windows,4.2
LAP0094,Apple,MacBook Air M3,94900,Apple M1,24GB,2TB SSD,macOS,4.7
LAP0095,MSI,Cyborg 15,103800,Intel i5,8GB,512GB SSD,Windows,4.8
LAP0096,Dell,Vostro 15,179100,Intel i5,64GB,2TB SSD,ChromeOS,3.8
LAP0097,Microsoft,Surface Laptop 6,126200,Snapdragon X Elite,32GB,1TB SSD,Windows,3.9
LAP0098,HP,Pavilion 15,90600,Intel i9,16GB,256GB SSD,macOS,3.8
LAP0099,Microsoft,Surface Laptop 5,160400,Intel i7,64GB,512GB SSD,Windows,4.3
LAP0100,Acer,Aspire 5,76300,Intel i9,16GB,1TB HDD,Linux,4.5
LAP0101,Acer,Nitro V,176900,Ryzen 7,64GB,512GB SSD,Windows,3.7
LAP0102,Acer,Nitro V,116000,Intel i5,8GB,1TB SSD,Windows,4.5
LAP0103,Acer,Predator Helios,72700,Intel i5,16GB,1TB HDD,ChromeOS,4.2
LAP0104,Samsung,Galaxy Book 4,142100,Intel i5,32GB,1TB SSD,Windows,3.9
LAP0105,Dell,Vostro 15,103000,Intel i3,64GB,256GB SSD,Linux,4.2
LAP0106,Samsung,Galaxy Book 4,128600,Intel i7,32GB,256GB SSD,ChromeOS,4.0
LAP0107,Apple,MacBook Pro 14,172900,Apple M1,16GB,1TB SSD,macOS,4.5
LAP0108,Acer,Predator Helios,66100,Intel i3,4GB,1TB SSD,ChromeOS,4.0
LAP0109,MSI,Modern 14,123000,Ryzen 9,4GB,512GB SSD,ChromeOS,4.0
LAP0110,Samsung,Galaxy Book Pro,140000,Ryzen 9,8GB,1TB SSD,Windows,3.7
LAP0111,Acer,Predator Helios,104400,Ryzen 9,4GB,2TB SSD,Windows,4.5
LAP0112,Acer,Aspire 5,102500,Ryzen 7,8GB,256GB SSD,Windows,4.8
LAP0113,Lenovo,Yoga Slim 7,113900,Ryzen 3,32GB,1TB HDD,Linux,3.8
LAP0114,Microsoft,Surface Laptop 5,106200,Snapdragon X Elite,16GB,256GB SSD,Windows,4.6
LAP0115,MSI,Katana 15,124900,Ryzen 3,16GB,1TB SSD,Windows,4.3
LAP0116,Samsung,Galaxy Book 3,150300,Ryzen 9,16GB,1TB SSD,ChromeOS,4.6
LAP0117,MSI,Cyborg 15,98200,Ryzen 5,8GB,2TB SSD,macOS,3.8
LAP0118,MSI,Modern 14,139000,Ryzen 5,32GB,1TB HDD,ChromeOS,4.6
LAP0119,Lenovo,Yoga Slim 7,141500,Intel i3,64GB,2TB SSD,macOS,4.7
LAP0120,Samsung,Galaxy Book 3,142800,Ryzen 9,8GB,1TB HDD,Windows,4.9
LAP0121,Dell,XPS 13,162200,Ryzen 3,64GB,1TB HDD,Linux,3.6
LAP0122,Apple,MacBook Pro 16,82900,Apple M3,32GB,256GB SSD,macOS,3.8
LAP0123,Acer,Nitro V,83200,Intel i5,4GB,256GB SSD,ChromeOS,3.7
LAP0124,Acer,Aspire 5,80000,Intel i3,4GB,1TB SSD,Linux,4.0
LAP0125,Lenovo,ThinkPad E14,52400,Ryzen 7,8GB,512GB SSD,macOS,4.4
LAP0126,MSI,Thin 15,140600,Ryzen 9,8GB,1TB HDD,macOS,3.9
LAP0127,Acer,Aspire 5,119700,Ryzen 9,64GB,512GB SSD,Linux,4.1
LAP0128,Apple,MacBook Pro 14,144200,Apple M4,24GB,2TB SSD,macOS,3.8
LAP0129,MSI,Cyborg 15,120000,Intel i5,32GB,2TB SSD,macOS,4.3
LAP0130,Acer,Aspire 5,144900,Ryzen 7,4GB,2TB SSD,Linux,4.6
LAP0131,HP,EliteBook 840,116700,Ryzen 3,64GB,1TB SSD,macOS,4.4
LAP0132,Acer,Nitro V,41400,Intel i5,16GB,1TB HDD,Windows,4.3
LAP0133,Lenovo,IdeaPad Slim 3,81300,Ryzen 3,32GB,512GB SSD,Linux,3.7
LAP0134,Microsoft,Surface Laptop 6,175700,Snapdragon X Plus,32GB,512GB SSD,Windows,3.9
LAP0135,Apple,MacBook Air M2,124100,Apple M4,8GB,512GB SSD,macOS,4.7
LAP0136,MSI,Katana 15,103300,Intel i5,4GB,1TB SSD,ChromeOS,3.7
LAP0137,Apple,MacBook Pro 14,126300,Apple M4,24GB,256GB SSD,macOS,4.2
LAP0138,Microsoft,Surface Laptop 6,109600,Intel i7,64GB,1TB SSD,Windows,4.4
LAP0139,Dell,Vostro 15,52200,Intel i3,16GB,1TB HDD,Windows,3.6
LAP0140,Microsoft,Surface Laptop 5,167400,Snapdragon X Elite,32GB,1TB SSD,Windows,4.5
LAP0141,Microsoft,Surface Laptop 6,150700,Intel i7,8GB,512GB SSD,Windows,4.1
LAP0142,Acer,Aspire 5,82900,Ryzen 5,32GB,1TB HDD,macOS,4.7
LAP0143,Dell,G15 Gaming,87900,Ryzen 5,32GB,1TB SSD,Windows,4.9
LAP0144,Samsung,Galaxy Book 3,94900,Intel i9,4GB,1TB SSD,Windows,4.9
LAP0145,ASUS,VivoBook 15,87300,Intel i9,8GB,1TB SSD,macOS,4.6
LAP0146,HP,Envy 13,122900,Intel i7,64GB,1TB SSD,macOS,3.7
LAP0147,HP,Victus 15,90400,Intel i3,8GB,2TB SSD,Linux,3.5
LAP0148,Acer,Aspire 5,100300,Intel i7,64GB,256GB SSD,ChromeOS,4.2
LAP0149,Apple,MacBook Air M2,201700,Apple M4,16GB,256GB SSD,macOS,3.9
LAP0150,HP,Pavilion 15,149300,Ryzen 9,32GB,256GB SSD,ChromeOS,4.5
LAP0151,Samsung,Galaxy Book 3,88600,Intel i5,64GB,512GB SSD,Linux,3.7
LAP0152,Microsoft,Surface Pro 9,136300,Snapdragon X Plus,32GB,512GB SSD,Windows,4.3
LAP0153,Dell,Inspiron 15,139200,Intel i9,32GB,512GB SSD,ChromeOS,4.0
LAP0154,Samsung,Galaxy Book 4,90000,Ryzen 7,16GB,1TB HDD,Windows,4.4
LAP0155,Apple,MacBook Air M3,87400,Apple M4,8GB,256GB SSD,macOS,3.6
LAP0156,Dell,G15 Gaming,183600,Intel i7,64GB,2TB SSD,Windows,4.0
LAP0157,Dell,XPS 13,111700,Ryzen 5,4GB,1TB SSD,ChromeOS,3.9
LAP0158,Dell,Vostro 15,87900,Intel i7,8GB,256GB SSD,ChromeOS,4.7
LAP0159,Apple,MacBook Air M2,212100,Apple M3,16GB,2TB SSD,macOS,4.9
LAP0160,Microsoft,Surface Laptop 5,162100,Snapdragon X Plus,16GB,512GB SSD,Windows,4.6
LAP0161,Apple,MacBook Pro 14,213500,Apple M1,16GB,512GB SSD,macOS,4.4
LAP0162,Dell,Vostro 15,129300,Intel i3,64GB,512GB SSD,Windows,4.1
LAP0163,Apple,MacBook Air M3,213800,Apple M3,24GB,1TB SSD,macOS,4.3
LAP0164,HP,Victus 15,103100,Intel i7,4GB,1TB SSD,Windows,4.4
LAP0165,Samsung,Galaxy Book Pro,137200,Ryzen 9,16GB,512GB SSD,ChromeOS,3.7
LAP0166,MSI,Modern 14,94000,Ryzen 3,64GB,1TB SSD,ChromeOS,3.8
LAP0167,HP,Pavilion 15,93500,Intel i9,8GB,512GB SSD,Linux,3.9
LAP0168,Dell,Inspiron 15,109800,Ryzen 9,8GB,512GB SSD,ChromeOS,4.2
LAP0169,ASUS,ROG Strix G16,25000,Intel i5,4GB,1TB HDD,ChromeOS,4.1
LAP0170,Dell,G15 Gaming,90100,Ryzen 7,32GB,1TB SSD,ChromeOS,4.1
LAP0171,Apple,MacBook Air M3,179500,Apple M4,24GB,256GB SSD,macOS,4.7
LAP0172,ASUS,ZenBook 14,119500,Ryzen 7,32GB,1TB SSD,Windows,3.8
LAP0173,Lenovo,IdeaPad Slim 3,132600,Intel i5,16GB,1TB SSD,macOS,4.6
LAP0174,ASUS,VivoBook 15,121000,Intel i7,8GB,512GB SSD,Linux,3.7
LAP0175,Dell,Vostro 15,186800,Ryzen 9,64GB,2TB SSD,ChromeOS,4.5
LAP0176,Apple,MacBook Pro 14,187900,Apple M2,32GB,256GB SSD,macOS,4.1
LAP0177,Acer,Swift Go 14,120700,Intel i3,64GB,256GB SSD,Linux,4.1
LAP0178,HP,Pavilion 15,105600,Ryzen 5,4GB,256GB SSD,Linux,4.3
LAP0179,MSI,Cyborg 15,122100,Intel i3,64GB,512GB SSD,ChromeOS,4.3
LAP0180,Microsoft,Surface Laptop 5,163600,Intel i5,8GB,512GB SSD,Windows,3.6
LAP0181,Lenovo,IdeaPad Slim 3,171500,Intel i9,32GB,2TB SSD,ChromeOS,4.4
LAP0182,Apple,MacBook Pro 14,153700,Apple M3,32GB,2TB SSD,macOS,4.5
LAP0183,HP,Envy 13,131900,Intel i5,4GB,2TB SSD,Linux,4.0
LAP0184,Acer,Nitro V,125900,Ryzen 5,64GB,512GB SSD,Windows,3.9
LAP0185,MSI,Thin 15,161300,Intel i5,64GB,1TB HDD,Linux,4.6
LAP0186,Lenovo,IdeaPad Slim 3,85500,Ryzen 7,4GB,1TB SSD,Linux,3.8
LAP0187,ASUS,ROG Strix G16,80300,Ryzen 9,8GB,512GB SSD,macOS,3.6
LAP0188,Dell,Inspiron 15,97200,Ryzen 5,64GB,1TB HDD,macOS,3.7
LAP0189,Lenovo,Yoga Slim 7,98200,Intel i3,16GB,512GB SSD,ChromeOS,4.4
LAP0190,Samsung,Galaxy Book 3,133200,Intel i9,32GB,512GB SSD,Linux,4.4
LAP0191,Samsung,Galaxy Book 4,152900,Ryzen 3,64GB,2TB SSD,ChromeOS,4.9
LAP0192,ASUS,TUF Gaming F15,135700,Ryzen 3,32GB,1TB SSD,Windows,4.8
LAP0193,Microsoft,Surface Laptop 5,128900,Snapdragon X Plus,16GB,512GB SSD,Windows,4.8
LAP0194,Lenovo,Yoga Slim 7,66500,Intel i5,32GB,1TB SSD,macOS,4.1
LAP0195,MSI,Katana 15,92400,Intel i9,4GB,1TB SSD,ChromeOS,3.5
LAP0196,Dell,G15 Gaming,106900,Intel i7,4GB,1TB SSD,macOS,4.5
LAP0197,Lenovo,Yoga Slim 7,88500,Ryzen 9,4GB,256GB SSD,Windows,3.8
LAP0198,Lenovo,Yoga Slim 7,54000,Intel i5,8GB,1TB SSD,Linux,3.6
LAP0199,MSI,Cyborg 15,143300,Intel i5,32GB,2TB SSD,Windows,3.5
LAP0200,Microsoft,Surface Pro 9,70200,Intel i7,32GB,512GB SSD,Windows,4.4
